id,date,domainId,serviceId,environment,costAmount
cost-1,2025-06-06,clearwater-trade,ec2,dev,82.59
cost-2,2025-06-06,clearwater-trade,ec2,uat,179.09
cost-3,2025-06-06,clearwater-trade,ec2,prod,642.94
cost-4,2025-06-06,clearwater-trade,rds,dev,63.17
cost-5,2025-06-06,clearwater-trade,rds,uat,119.45
cost-6,2025-06-06,clearwater-trade,rds,prod,479.13
cost-7,2025-06-06,clearwater-trade,s3,dev,13.52
cost-8,2025-06-06,clearwater-trade,s3,uat,27.47
cost-9,2025-06-06,clearwater-trade,s3,prod,83.07
cost-10,2025-06-06,clearwater-trade,lambda,dev,27.10
cost-11,2025-06-06,clearwater-trade,lambda,uat,47.40
cost-12,2025-06-06,clearwater-trade,lambda,prod,160.17
cost-13,2025-06-06,clearwater-trade,eks,dev,53.93
cost-14,2025-06-06,clearwater-trade,eks,uat,94.68
cost-15,2025-06-06,clearwater-trade,eks,prod,310.29
cost-16,2025-06-06,clearwater-trade,cloudwatch,dev,12.06
cost-17,2025-06-06,clearwater-trade,cloudwatch,uat,24.79
cost-18,2025-06-06,clearwater-trade,cloudwatch,prod,78.28
cost-19,2025-06-06,clearwater-settlement,ec2,dev,67.29
cost-20,2025-06-06,clearwater-settlement,ec2,uat,121.06
cost-21,2025-06-06,clearwater-settlement,ec2,prod,425.12
cost-22,2025-06-06,clearwater-settlement,rds,dev,57.14
cost-23,2025-06-06,clearwater-settlement,rds,uat,132.58
cost-24,2025-06-06,clearwater-settlement,rds,prod,464.45
cost-25,2025-06-06,clearwater-settlement,s3,dev,16.77
cost-26,2025-06-06,clearwater-settlement,s3,uat,38.40
cost-27,2025-06-06,clearwater-settlement,s3,prod,122.05
cost-28,2025-06-06,clearwater-settlement,lambda,dev,24.19
cost-29,2025-06-06,clearwater-settlement,lambda,uat,53.26
cost-30,2025-06-06,clearwater-settlement,lambda,prod,181.85
cost-31,2025-06-06,clearwater-settlement,eks,dev,37.21
cost-32,2025-06-06,clearwater-settlement,eks,uat,71.55
cost-33,2025-06-06,clearwater-settlement,eks,prod,199.49
cost-34,2025-06-06,clearwater-settlement,cloudwatch,dev,10.71
cost-35,2025-06-06,clearwater-settlement,cloudwatch,uat,22.54
cost-36,2025-06-06,clearwater-settlement,cloudwatch,prod,85.93
cost-37,2025-06-06,clearwater-sales,ec2,dev,30.15
cost-38,2025-06-06,clearwater-sales,ec2,uat,62.08
cost-39,2025-06-06,clearwater-sales,ec2,prod,237.69
cost-40,2025-06-06,clearwater-sales,rds,dev,19.84
cost-41,2025-06-06,clearwater-sales,rds,uat,32.99
cost-42,2025-06-06,clearwater-sales,rds,prod,137.09
cost-43,2025-06-06,clearwater-sales,s3,dev,12.61
cost-44,2025-06-06,clearwater-sales,s3,uat,31.43
cost-45,2025-06-06,clearwater-sales,s3,prod,110.14
cost-46,2025-06-06,clearwater-sales,lambda,dev,36.55
cost-47,2025-06-06,clearwater-sales,lambda,uat,78.12
cost-48,2025-06-06,clearwater-sales,lambda,prod,218.00
cost-49,2025-06-06,clearwater-sales,eks,dev,10.60
cost-50,2025-06-06,clearwater-sales,eks,uat,22.25
cost-51,2025-06-06,clearwater-sales,eks,prod,73.23
cost-52,2025-06-06,clearwater-sales,cloudwatch,dev,10.64
cost-53,2025-06-06,clearwater-sales,cloudwatch,uat,16.57
cost-54,2025-06-06,clearwater-sales,cloudwatch,prod,72.49
cost-55,2025-06-06,clearwater-collateral,ec2,dev,14.11
cost-56,2025-06-06,clearwater-collateral,ec2,uat,28.12
cost-57,2025-06-06,clearwater-collateral,ec2,prod,94.83
cost-58,2025-06-06,clearwater-collateral,rds,dev,30.61
cost-59,2025-06-06,clearwater-collateral,rds,uat,59.51
cost-60,2025-06-06,clearwater-collateral,rds,prod,222.00
cost-61,2025-06-06,clearwater-collateral,s3,dev,25.73
cost-62,2025-06-06,clearwater-collateral,s3,uat,46.50
cost-63,2025-06-06,clearwater-collateral,s3,prod,175.40
cost-64,2025-06-06,clearwater-collateral,lambda,dev,6.34
cost-65,2025-06-06,clearwater-collateral,lambda,uat,13.72
cost-66,2025-06-06,clearwater-collateral,lambda,prod,49.23
cost-67,2025-06-06,clearwater-collateral,eks,dev,6.27
cost-68,2025-06-06,clearwater-collateral,eks,uat,13.94
cost-69,2025-06-06,clearwater-collateral,eks,prod,49.63
cost-70,2025-06-06,clearwater-collateral,cloudwatch,dev,4.93
cost-71,2025-06-06,clearwater-collateral,cloudwatch,uat,10.34
cost-72,2025-06-06,clearwater-collateral,cloudwatch,prod,30.80
cost-73,2025-06-07,clearwater-trade,ec2,dev,95.53
cost-74,2025-06-07,clearwater-trade,ec2,uat,188.26
cost-75,2025-06-07,clearwater-trade,ec2,prod,566.47
cost-76,2025-06-07,clearwater-trade,rds,dev,54.72
cost-77,2025-06-07,clearwater-trade,rds,uat,129.92
cost-78,2025-06-07,clearwater-trade,rds,prod,432.92
cost-79,2025-06-07,clearwater-trade,s3,dev,10.90
cost-80,2025-06-07,clearwater-trade,s3,uat,26.00
cost-81,2025-06-07,clearwater-trade,s3,prod,91.97
cost-82,2025-06-07,clearwater-trade,lambda,dev,25.63
cost-83,2025-06-07,clearwater-trade,lambda,uat,49.66
cost-84,2025-06-07,clearwater-trade,lambda,prod,189.90
cost-85,2025-06-07,clearwater-trade,eks,dev,57.16
cost-86,2025-06-07,clearwater-trade,eks,uat,114.54
cost-87,2025-06-07,clearwater-trade,eks,prod,300.51
cost-88,2025-06-07,clearwater-trade,cloudwatch,dev,11.78
cost-89,2025-06-07,clearwater-trade,cloudwatch,uat,26.92
cost-90,2025-06-07,clearwater-trade,cloudwatch,prod,92.83
cost-91,2025-06-07,clearwater-settlement,ec2,dev,68.38
cost-92,2025-06-07,clearwater-settlement,ec2,uat,141.77
cost-93,2025-06-07,clearwater-settlement,ec2,prod,490.62
cost-94,2025-06-07,clearwater-settlement,rds,dev,63.24
cost-95,2025-06-07,clearwater-settlement,rds,uat,126.91
cost-96,2025-06-07,clearwater-settlement,rds,prod,422.18
cost-97,2025-06-07,clearwater-settlement,s3,dev,16.53
cost-98,2025-06-07,clearwater-settlement,s3,uat,36.75
cost-99,2025-06-07,clearwater-settlement,s3,prod,125.52
cost-100,2025-06-07,clearwater-settlement,lambda,dev,26.40
cost-101,2025-06-07,clearwater-settlement,lambda,uat,49.65
cost-102,2025-06-07,clearwater-settlement,lambda,prod,206.01
cost-103,2025-06-07,clearwater-settlement,eks,dev,33.57
cost-104,2025-06-07,clearwater-settlement,eks,uat,58.23
cost-105,2025-06-07,clearwater-settlement,eks,prod,205.94
cost-106,2025-06-07,clearwater-settlement,cloudwatch,dev,9.92
cost-107,2025-06-07,clearwater-settlement,cloudwatch,uat,21.58
cost-108,2025-06-07,clearwater-settlement,cloudwatch,prod,67.31
cost-109,2025-06-07,clearwater-sales,ec2,dev,30.18
cost-110,2025-06-07,clearwater-sales,ec2,uat,62.67
cost-111,2025-06-07,clearwater-sales,ec2,prod,179.08
cost-112,2025-06-07,clearwater-sales,rds,dev,20.68
cost-113,2025-06-07,clearwater-sales,rds,uat,33.12
cost-114,2025-06-07,clearwater-sales,rds,prod,111.19
cost-115,2025-06-07,clearwater-sales,s3,dev,16.45
cost-116,2025-06-07,clearwater-sales,s3,uat,28.00
cost-117,2025-06-07,clearwater-sales,s3,prod,111.78
cost-118,2025-06-07,clearwater-sales,lambda,dev,31.53
cost-119,2025-06-07,clearwater-sales,lambda,uat,70.80
cost-120,2025-06-07,clearwater-sales,lambda,prod,259.88
cost-121,2025-06-07,clearwater-sales,eks,dev,12.27
cost-122,2025-06-07,clearwater-sales,eks,uat,25.02
cost-123,2025-06-07,clearwater-sales,eks,prod,95.77
cost-124,2025-06-07,clearwater-sales,cloudwatch,dev,10.72
cost-125,2025-06-07,clearwater-sales,cloudwatch,uat,18.21
cost-126,2025-06-07,clearwater-sales,cloudwatch,prod,65.59
cost-127,2025-06-07,clearwater-collateral,ec2,dev,14.06
cost-128,2025-06-07,clearwater-collateral,ec2,uat,29.89
cost-129,2025-06-07,clearwater-collateral,ec2,prod,95.88
cost-130,2025-06-07,clearwater-collateral,rds,dev,35.06
cost-131,2025-06-07,clearwater-collateral,rds,uat,68.57
cost-132,2025-06-07,clearwater-collateral,rds,prod,231.83
cost-133,2025-06-07,clearwater-collateral,s3,dev,28.70
cost-134,2025-06-07,clearwater-collateral,s3,uat,61.98
cost-135,2025-06-07,clearwater-collateral,s3,prod,215.60
cost-136,2025-06-07,clearwater-collateral,lambda,dev,7.98
cost-137,2025-06-07,clearwater-collateral,lambda,uat,12.66
cost-138,2025-06-07,clearwater-collateral,lambda,prod,52.17
cost-139,2025-06-07,clearwater-collateral,eks,dev,6.06
cost-140,2025-06-07,clearwater-collateral,eks,uat,13.61
cost-141,2025-06-07,clearwater-collateral,eks,prod,42.65
cost-142,2025-06-07,clearwater-collateral,cloudwatch,dev,4.73
cost-143,2025-06-07,clearwater-collateral,cloudwatch,uat,9.56
cost-144,2025-06-07,clearwater-collateral,cloudwatch,prod,32.73
cost-145,2025-06-08,clearwater-trade,ec2,dev,88.21
cost-146,2025-06-08,clearwater-trade,ec2,uat,166.39
cost-147,2025-06-08,clearwater-trade,ec2,prod,608.76
cost-148,2025-06-08,clearwater-trade,rds,dev,64.91
cost-149,2025-06-08,clearwater-trade,rds,uat,139.37
cost-150,2025-06-08,clearwater-trade,rds,prod,440.70
cost-151,2025-06-08,clearwater-trade,s3,dev,13.03
cost-152,2025-06-08,clearwater-trade,s3,uat,27.01
cost-153,2025-06-08,clearwater-trade,s3,prod,85.75
cost-154,2025-06-08,clearwater-trade,lambda,dev,22.88
cost-155,2025-06-08,clearwater-trade,lambda,uat,57.07
cost-156,2025-06-08,clearwater-trade,lambda,prod,187.73
cost-157,2025-06-08,clearwater-trade,eks,dev,48.72
cost-158,2025-06-08,clearwater-trade,eks,uat,104.59
cost-159,2025-06-08,clearwater-trade,eks,prod,318.64
cost-160,2025-06-08,clearwater-trade,cloudwatch,dev,12.35
cost-161,2025-06-08,clearwater-trade,cloudwatch,uat,22.53
cost-162,2025-06-08,clearwater-trade,cloudwatch,prod,77.52
cost-163,2025-06-08,clearwater-settlement,ec2,dev,60.31
cost-164,2025-06-08,clearwater-settlement,ec2,uat,132.35
cost-165,2025-06-08,clearwater-settlement,ec2,prod,494.79
cost-166,2025-06-08,clearwater-settlement,rds,dev,70.01
cost-167,2025-06-08,clearwater-settlement,rds,uat,139.76
cost-168,2025-06-08,clearwater-settlement,rds,prod,485.17
cost-169,2025-06-08,clearwater-settlement,s3,dev,15.46
cost-170,2025-06-08,clearwater-settlement,s3,uat,34.65
cost-171,2025-06-08,clearwater-settlement,s3,prod,125.91
cost-172,2025-06-08,clearwater-settlement,lambda,dev,28.27
cost-173,2025-06-08,clearwater-settlement,lambda,uat,49.76
cost-174,2025-06-08,clearwater-settlement,lambda,prod,184.74
cost-175,2025-06-08,clearwater-settlement,eks,dev,33.14
cost-176,2025-06-08,clearwater-settlement,eks,uat,66.34
cost-177,2025-06-08,clearwater-settlement,eks,prod,258.40
cost-178,2025-06-08,clearwater-settlement,cloudwatch,dev,9.53
cost-179,2025-06-08,clearwater-settlement,cloudwatch,uat,20.31
cost-180,2025-06-08,clearwater-settlement,cloudwatch,prod,83.32
cost-181,2025-06-08,clearwater-sales,ec2,dev,30.95
cost-182,2025-06-08,clearwater-sales,ec2,uat,63.49
cost-183,2025-06-08,clearwater-sales,ec2,prod,181.93
cost-184,2025-06-08,clearwater-sales,rds,dev,20.45
cost-185,2025-06-08,clearwater-sales,rds,uat,37.24
cost-186,2025-06-08,clearwater-sales,rds,prod,143.14
cost-187,2025-06-08,clearwater-sales,s3,dev,12.79
cost-188,2025-06-08,clearwater-sales,s3,uat,29.91
cost-189,2025-06-08,clearwater-sales,s3,prod,94.13
cost-190,2025-06-08,clearwater-sales,lambda,dev,35.14
cost-191,2025-06-08,clearwater-sales,lambda,uat,80.68
cost-192,2025-06-08,clearwater-sales,lambda,prod,272.64
cost-193,2025-06-08,clearwater-sales,eks,dev,10.38
cost-194,2025-06-08,clearwater-sales,eks,uat,21.64
cost-195,2025-06-08,clearwater-sales,eks,prod,80.22
cost-196,2025-06-08,clearwater-sales,cloudwatch,dev,10.08
cost-197,2025-06-08,clearwater-sales,cloudwatch,uat,17.97
cost-198,2025-06-08,clearwater-sales,cloudwatch,prod,63.41
cost-199,2025-06-08,clearwater-collateral,ec2,dev,14.81
cost-200,2025-06-08,clearwater-collateral,ec2,uat,25.80
cost-201,2025-06-08,clearwater-collateral,ec2,prod,84.00
cost-202,2025-06-08,clearwater-collateral,rds,dev,35.60
cost-203,2025-06-08,clearwater-collateral,rds,uat,69.21
cost-204,2025-06-08,clearwater-collateral,rds,prod,201.46
cost-205,2025-06-08,clearwater-collateral,s3,dev,27.86
cost-206,2025-06-08,clearwater-collateral,s3,uat,50.65
cost-207,2025-06-08,clearwater-collateral,s3,prod,160.73
cost-208,2025-06-08,clearwater-collateral,lambda,dev,6.52
cost-209,2025-06-08,clearwater-collateral,lambda,uat,16.36
cost-210,2025-06-08,clearwater-collateral,lambda,prod,57.61
cost-211,2025-06-08,clearwater-collateral,eks,dev,5.60
cost-212,2025-06-08,clearwater-collateral,eks,uat,13.69
cost-213,2025-06-08,clearwater-collateral,eks,prod,49.16
cost-214,2025-06-08,clearwater-collateral,cloudwatch,dev,4.28
cost-215,2025-06-08,clearwater-collateral,cloudwatch,uat,7.87
cost-216,2025-06-08,clearwater-collateral,cloudwatch,prod,27.87
cost-217,2025-06-09,clearwater-trade,ec2,dev,98.97
cost-218,2025-06-09,clearwater-trade,ec2,uat,198.65
cost-219,2025-06-09,clearwater-trade,ec2,prod,695.60
cost-220,2025-06-09,clearwater-trade,rds,dev,56.63
cost-221,2025-06-09,clearwater-trade,rds,uat,115.75
cost-222,2025-06-09,clearwater-trade,rds,prod,498.39
cost-223,2025-06-09,clearwater-trade,s3,dev,11.85
cost-224,2025-06-09,clearwater-trade,s3,uat,22.93
cost-225,2025-06-09,clearwater-trade,s3,prod,97.54
cost-226,2025-06-09,clearwater-trade,lambda,dev,26.82
cost-227,2025-06-09,clearwater-trade,lambda,uat,50.93
cost-228,2025-06-09,clearwater-trade,lambda,prod,148.87
cost-229,2025-06-09,clearwater-trade,eks,dev,47.95
cost-230,2025-06-09,clearwater-trade,eks,uat,107.89
cost-231,2025-06-09,clearwater-trade,eks,prod,374.12
cost-232,2025-06-09,clearwater-trade,cloudwatch,dev,13.54
cost-233,2025-06-09,clearwater-trade,cloudwatch,uat,23.72
cost-234,2025-06-09,clearwater-trade,cloudwatch,prod,74.97
cost-235,2025-06-09,clearwater-settlement,ec2,dev,64.13
cost-236,2025-06-09,clearwater-settlement,ec2,uat,136.15
cost-237,2025-06-09,clearwater-settlement,ec2,prod,516.26
cost-238,2025-06-09,clearwater-settlement,rds,dev,72.29
cost-239,2025-06-09,clearwater-settlement,rds,uat,142.46
cost-240,2025-06-09,clearwater-settlement,rds,prod,446.82
cost-241,2025-06-09,clearwater-settlement,s3,dev,19.02
cost-242,2025-06-09,clearwater-settlement,s3,uat,30.79
cost-243,2025-06-09,clearwater-settlement,s3,prod,131.91
cost-244,2025-06-09,clearwater-settlement,lambda,dev,29.10
cost-245,2025-06-09,clearwater-settlement,lambda,uat,50.10
cost-246,2025-06-09,clearwater-settlement,lambda,prod,204.96
cost-247,2025-06-09,clearwater-settlement,eks,dev,37.73
cost-248,2025-06-09,clearwater-settlement,eks,uat,69.65
cost-249,2025-06-09,clearwater-settlement,eks,prod,237.19
cost-250,2025-06-09,clearwater-settlement,cloudwatch,dev,12.05
cost-251,2025-06-09,clearwater-settlement,cloudwatch,uat,23.69
cost-252,2025-06-09,clearwater-settlement,cloudwatch,prod,65.45
cost-253,2025-06-09,clearwater-sales,ec2,dev,27.55
cost-254,2025-06-09,clearwater-sales,ec2,uat,53.48
cost-255,2025-06-09,clearwater-sales,ec2,prod,195.88
cost-256,2025-06-09,clearwater-sales,rds,dev,18.39
cost-257,2025-06-09,clearwater-sales,rds,uat,34.79
cost-258,2025-06-09,clearwater-sales,rds,prod,127.25
cost-259,2025-06-09,clearwater-sales,s3,dev,16.29
cost-260,2025-06-09,clearwater-sales,s3,uat,26.10
cost-261,2025-06-09,clearwater-sales,s3,prod,102.46
cost-262,2025-06-09,clearwater-sales,lambda,dev,36.50
cost-263,2025-06-09,clearwater-sales,lambda,uat,82.70
cost-264,2025-06-09,clearwater-sales,lambda,prod,266.52
cost-265,2025-06-09,clearwater-sales,eks,dev,11.11
cost-266,2025-06-09,clearwater-sales,eks,uat,20.72
cost-267,2025-06-09,clearwater-sales,eks,prod,74.35
cost-268,2025-06-09,clearwater-sales,cloudwatch,dev,10.42
cost-269,2025-06-09,clearwater-sales,cloudwatch,uat,18.68
cost-270,2025-06-09,clearwater-sales,cloudwatch,prod,67.82
cost-271,2025-06-09,clearwater-collateral,ec2,dev,12.60
cost-272,2025-06-09,clearwater-collateral,ec2,uat,29.01
cost-273,2025-06-09,clearwater-collateral,ec2,prod,104.82
cost-274,2025-06-09,clearwater-collateral,rds,dev,26.87
cost-275,2025-06-09,clearwater-collateral,rds,uat,54.17
cost-276,2025-06-09,clearwater-collateral,rds,prod,238.39
cost-277,2025-06-09,clearwater-collateral,s3,dev,27.14
cost-278,2025-06-09,clearwater-collateral,s3,uat,46.87
cost-279,2025-06-09,clearwater-collateral,s3,prod,201.47
cost-280,2025-06-09,clearwater-collateral,lambda,dev,7.86
cost-281,2025-06-09,clearwater-collateral,lambda,uat,12.57
cost-282,2025-06-09,clearwater-collateral,lambda,prod,50.72
cost-283,2025-06-09,clearwater-collateral,eks,dev,6.78
cost-284,2025-06-09,clearwater-collateral,eks,uat,12.36
cost-285,2025-06-09,clearwater-collateral,eks,prod,44.19
cost-286,2025-06-09,clearwater-collateral,cloudwatch,dev,3.99
cost-287,2025-06-09,clearwater-collateral,cloudwatch,uat,9.36
cost-288,2025-06-09,clearwater-collateral,cloudwatch,prod,33.83
cost-289,2025-06-10,clearwater-trade,ec2,dev,76.58
cost-290,2025-06-10,clearwater-trade,ec2,uat,196.57
cost-291,2025-06-10,clearwater-trade,ec2,prod,562.41
cost-292,2025-06-10,clearwater-trade,rds,dev,54.70
cost-293,2025-06-10,clearwater-trade,rds,uat,116.38
cost-294,2025-06-10,clearwater-trade,rds,prod,500.23
cost-295,2025-06-10,clearwater-trade,s3,dev,12.81
cost-296,2025-06-10,clearwater-trade,s3,uat,28.52
cost-297,2025-06-10,clearwater-trade,s3,prod,85.89
cost-298,2025-06-10,clearwater-trade,lambda,dev,26.22
cost-299,2025-06-10,clearwater-trade,lambda,uat,53.71
cost-300,2025-06-10,clearwater-trade,lambda,prod,184.61
cost-301,2025-06-10,clearwater-trade,eks,dev,57.31
cost-302,2025-06-10,clearwater-trade,eks,uat,98.88
cost-303,2025-06-10,clearwater-trade,eks,prod,329.57
cost-304,2025-06-10,clearwater-trade,cloudwatch,dev,11.38
cost-305,2025-06-10,clearwater-trade,cloudwatch,uat,25.75
cost-306,2025-06-10,clearwater-trade,cloudwatch,prod,93.76
cost-307,2025-06-10,clearwater-settlement,ec2,dev,69.85
cost-308,2025-06-10,clearwater-settlement,ec2,uat,144.29
cost-309,2025-06-10,clearwater-settlement,ec2,prod,522.84
cost-310,2025-06-10,clearwater-settlement,rds,dev,72.23
cost-311,2025-06-10,clearwater-settlement,rds,uat,113.04
cost-312,2025-06-10,clearwater-settlement,rds,prod,469.11
cost-313,2025-06-10,clearwater-settlement,s3,dev,19.49
cost-314,2025-06-10,clearwater-settlement,s3,uat,37.07
cost-315,2025-06-10,clearwater-settlement,s3,prod,109.82
cost-316,2025-06-10,clearwater-settlement,lambda,dev,27.99
cost-317,2025-06-10,clearwater-settlement,lambda,uat,55.20
cost-318,2025-06-10,clearwater-settlement,lambda,prod,168.18
cost-319,2025-06-10,clearwater-settlement,eks,dev,32.28
cost-320,2025-06-10,clearwater-settlement,eks,uat,58.39
cost-321,2025-06-10,clearwater-settlement,eks,prod,246.29
cost-322,2025-06-10,clearwater-settlement,cloudwatch,dev,12.59
cost-323,2025-06-10,clearwater-settlement,cloudwatch,uat,19.91
cost-324,2025-06-10,clearwater-settlement,cloudwatch,prod,66.47
cost-325,2025-06-10,clearwater-sales,ec2,dev,29.08
cost-326,2025-06-10,clearwater-sales,ec2,uat,59.09
cost-327,2025-06-10,clearwater-sales,ec2,prod,208.05
cost-328,2025-06-10,clearwater-sales,rds,dev,17.20
cost-329,2025-06-10,clearwater-sales,rds,uat,37.27
cost-330,2025-06-10,clearwater-sales,rds,prod,118.93
cost-331,2025-06-10,clearwater-sales,s3,dev,15.32
cost-332,2025-06-10,clearwater-sales,s3,uat,25.26
cost-333,2025-06-10,clearwater-sales,s3,prod,107.00
cost-334,2025-06-10,clearwater-sales,lambda,dev,36.04
cost-335,2025-06-10,clearwater-sales,lambda,uat,82.55
cost-336,2025-06-10,clearwater-sales,lambda,prod,252.78
cost-337,2025-06-10,clearwater-sales,eks,dev,11.15
cost-338,2025-06-10,clearwater-sales,eks,uat,20.59
cost-339,2025-06-10,clearwater-sales,eks,prod,89.46
cost-340,2025-06-10,clearwater-sales,cloudwatch,dev,10.90
cost-341,2025-06-10,clearwater-sales,cloudwatch,uat,20.28
cost-342,2025-06-10,clearwater-sales,cloudwatch,prod,58.84
cost-343,2025-06-10,clearwater-collateral,ec2,dev,12.39
cost-344,2025-06-10,clearwater-collateral,ec2,uat,26.53
cost-345,2025-06-10,clearwater-collateral,ec2,prod,95.36
cost-346,2025-06-10,clearwater-collateral,rds,dev,29.95
cost-347,2025-06-10,clearwater-collateral,rds,uat,61.48
cost-348,2025-06-10,clearwater-collateral,rds,prod,205.50
cost-349,2025-06-10,clearwater-collateral,s3,dev,27.11
cost-350,2025-06-10,clearwater-collateral,s3,uat,55.04
cost-351,2025-06-10,clearwater-collateral,s3,prod,206.99
cost-352,2025-06-10,clearwater-collateral,lambda,dev,7.60
cost-353,2025-06-10,clearwater-collateral,lambda,uat,15.06
cost-354,2025-06-10,clearwater-collateral,lambda,prod,45.68
cost-355,2025-06-10,clearwater-collateral,eks,dev,7.17
cost-356,2025-06-10,clearwater-collateral,eks,uat,13.98
cost-357,2025-06-10,clearwater-collateral,eks,prod,40.68
cost-358,2025-06-10,clearwater-collateral,cloudwatch,dev,4.28
cost-359,2025-06-10,clearwater-collateral,cloudwatch,uat,10.13
cost-360,2025-06-10,clearwater-collateral,cloudwatch,prod,31.72
cost-361,2025-06-11,clearwater-trade,ec2,dev,81.26
cost-362,2025-06-11,clearwater-trade,ec2,uat,151.27
cost-363,2025-06-11,clearwater-trade,ec2,prod,608.08
cost-364,2025-06-11,clearwater-trade,rds,dev,68.04
cost-365,2025-06-11,clearwater-trade,rds,uat,109.66
cost-366,2025-06-11,clearwater-trade,rds,prod,426.81
cost-367,2025-06-11,clearwater-trade,s3,dev,10.98
cost-368,2025-06-11,clearwater-trade,s3,uat,25.38
cost-369,2025-06-11,clearwater-trade,s3,prod,93.89
cost-370,2025-06-11,clearwater-trade,lambda,dev,21.95
cost-371,2025-06-11,clearwater-trade,lambda,uat,54.94
cost-372,2025-06-11,clearwater-trade,lambda,prod,161.61
cost-373,2025-06-11,clearwater-trade,eks,dev,51.18
cost-374,2025-06-11,clearwater-trade,eks,uat,96.05
cost-375,2025-06-11,clearwater-trade,eks,prod,356.04
cost-376,2025-06-11,clearwater-trade,cloudwatch,dev,13.71
cost-377,2025-06-11,clearwater-trade,cloudwatch,uat,22.58
cost-378,2025-06-11,clearwater-trade,cloudwatch,prod,84.69
cost-379,2025-06-11,clearwater-settlement,ec2,dev,70.45
cost-380,2025-06-11,clearwater-settlement,ec2,uat,136.36
cost-381,2025-06-11,clearwater-settlement,ec2,prod,466.17
cost-382,2025-06-11,clearwater-settlement,rds,dev,74.71
cost-383,2025-06-11,clearwater-settlement,rds,uat,129.25
cost-384,2025-06-11,clearwater-settlement,rds,prod,472.67
cost-385,2025-06-11,clearwater-settlement,s3,dev,16.85
cost-386,2025-06-11,clearwater-settlement,s3,uat,31.62
cost-387,2025-06-11,clearwater-settlement,s3,prod,137.15
